edition,point_id,claim,event_date,original_probability,resolution_rule,status,outcome_0_or_1,outcome_source,source_date,notes
2026-09-08-addendum-02,fold,Apple introduces a folding iPhone,2026-09-09,0.75,"YES if Apple officially presents an Apple-branded iPhone with a display that physically folds during the September 9 event or in its associated same-day newsroom announcement, by 23:59 America/Los_Angeles. A patent, analyst rumor, hinged accessory or two rigid screens does not qualify. An announcement counts even if shipping is later. If the event occurs without this introduction, NO; cancellation beyond the window is unresolved.",unresolved,,,,2026-09-09T02:39:00Z
2026-09-08-v1,cpi,US core CPI rises 0.2% or 0.3% in August,2026-09-11,0.6,"YES if the initial September 11 BLS release reports August CPI-U, all items less food and energy, at 0.2% or 0.3% month over month, seasonally adjusted. Use the published rounded figure, not later revisions.",unresolved,,,,2026-09-08 America/Los_Angeles
2026-09-08-edition-03,tennis,The US Open men’s final lasts at least four completed sets,2026-09-13,0.55,"YES if the 2026 US Open men’s singles final ends with four or five fully completed sets in the official score. A completed three-set final is NO. Retirement, walkover, disqualification or an unfinished match is unresolved regardless of partial-set count. If postponed, use a completed final by September 22; otherwise unresolved.",unresolved,,,,2026-09-09T03:01:18+00:00
2026-09-08-edition-04,starcraft,Blizzard announces a new standalone StarCraft video game,2026-09-13,0.65,"YES if Blizzard officially announces a previously unannounced standalone StarCraft video game after this cutoff and by September 22, 23:59 UTC. A named game or an explicit new-game development announcement qualifies. Exclude remasters, ports, expansions, patches, tabletop games, merchandise, collaborations inside other games, and unexplained teasers. NO if no qualifying announcement appears in Blizzard’s official news and event record by the deadline; unresolved if that record cannot be checked. September 13 is the expected reveal opportunity, not the scoring deadline.",unresolved,,,,2026-09-09T03:21:01+00:00
2026-09-08-addendum-02,emmy,The Pitt wins Outstanding Drama Series,2026-09-14,0.6,"YES if the Television Academy names The Pitt the winner or an official co-winner of Outstanding Drama Series at the September 14, 2026 ceremony. Any other sole winner is NO. Use the Academy’s category result, not acting or Creative Arts awards. If the category is not awarded by September 22, leave unresolved.",unresolved,,,,2026-09-09T02:39:00Z
2026-09-08-edition-03,hacks,Hacks wins Outstanding Comedy Series,2026-09-14,0.6,"YES if the Television Academy names Hacks the winner or official co-winner of Outstanding Comedy Series at the September 14, 2026 ceremony. A different sole winner is NO. Acting, writing and earlier Creative Arts results do not count. If the category is not awarded by September 22, leave unresolved.",unresolved,,,,2026-09-09T03:01:18+00:00
2026-09-08-edition-03,atlantic,No new Atlantic tropical cyclone through September 14 noon UTC,2026-09-14,0.7,"YES if NHC operational advisories identify no newly formed tropical or subtropical depression or storm in the Atlantic basin after this cutoff through September 14, 12:00 UTC. A new depression counts and makes the forecast NO even if it is never named. A potential tropical cyclone designation alone does not count. Use advisory issue times; if the advisory archive cannot be checked completely, unresolved. Later best-track reanalysis does not change this operational-reporting test.",unresolved,,,,2026-09-09T03:01:18+00:00
2026-09-08-edition-04,agent-team,Salesforce shows two distinct agents handing off one business workflow at Dreamforce,2026-09-17,0.75,"YES if Salesforce publishes a Dreamforce September 15–17 demonstration or recording after this cutoff and by September 22 showing two distinct software agents with different roles, an explicit handoff of task or context, and a displayed result within the same business workflow. A diagram, future promise, two unrelated chat windows, or one agent merely calling a conventional tool does not qualify. Prerecorded product demos count, but must be labeled as such in the resolution. NO if a complete check of official Dreamforce recordings and product recap material finds no qualifying demonstration by the deadline; unresolved if the necessary record is unavailable.",unresolved,,,,2026-09-09T03:21:01+00:00
2026-09-08-edition-04,robot-lesson,A Standard Bots IMTS demo shows a taught task repeated without continuous human control,2026-09-19,0.7,"YES if an official exhibitor/organizer video or a first-hand technical report published after this cutoff and by September 22 documents a Standard Bots demonstration at IMTS September 14–19 in which a person teaches a physical task and the robot subsequently completes that task without continuous teleoperation or hand guidance. The report must explicitly connect the teaching and execution stages. A generic arm moving, a pre-event clip, slides, or a sales claim without an observed demo is insufficient. NO if a complete check of organizer and exhibitor show reports plus available first-hand coverage finds no qualifying evidence by the deadline; unresolved if evidence access is inadequate.",unresolved,,,,2026-09-09T03:21:01+00:00
2026-09-08-edition-04,drone-factory,An IMTS manufacturing cell produces a drone that then flies at the show,2026-09-19,0.8,"YES if an IMTS/ORNL event report or first-hand technical account published after this cutoff and by September 22 documents at least one quadcopter produced through the announced manufacturing-and-assembly demonstration at IMTS September 14–19 and subsequently flown there. The account must link production and flight to the resulting unit or batch. A drone assembled elsewhere, separate unrelated footage, an airframe alone, or an announced plan does not count. Human integration steps are allowed and must be disclosed when reported. NO if the event concludes and a complete check of IMTS and ORNL show reports plus available first-hand coverage finds no qualifying documented result; unresolved if access is inadequate.",unresolved,,,,2026-09-09T03:21:01+00:00
